Pinyin,Wade-Giles,Romatzyh,Palladiy
бийианг,пичианг,бихйианг,бэнь чжи
биxиу,пихсиу,бихшиоу,би
би,пи,бих,би ши
бианыуан,пиеныуан,бианыуан,би цзян
бианжи,пиенчих,бианйых,би сю
биангенг,пиенкенг,бианнгенг,би
бианхуан,пиенхуан,бианнхуанн,бянь юань
бианxинг,пиенхсинг,бианншынг,бянь чжи
биан,пиен,бианн,бянь гэн
бианши,пиенших,бианншых,бянь хуань
бианди,пиенти,бианндих,бянь син
бингфанг,пингфанг,бинкфарнг,бянь
бингкинг,пингчинг,бинкчынг,бянь ши
бода,пота,бодаа,бянь ди
бодонг,потунг,бодонк,бин фан
боланг,поланг,боланк,бин цин
бо,по,бо,бо да
букао,пукао,буукао,бо дун
буке,пуко,буукех,бо лан
буxи,пухси,буушыи,бо
бужу,пучу,бууюх,бу као
бу,пу,буу,бу кэ
бученг,пученг,бухчернг,бу си
буйин,пучин,бухйин,бу чжу
буйинйин,пучинчин,бухйиинйиин,бу
бутонг,путунг,бухтонг,бу чэн
бузенме,пуценме,бухтзеенме,бу цзинь
бузенмеыанг,пуценмеыанг,бухтзеенмеыанк,бу цзинь цзинь
бужи,пучих,бухйыр,бу тун
буман,пуман,бухмаан,бу яо цзэнь
будуи,путуи,бухдуеы,бу ян яо цзэнь
цаина,цаина,цаенах,бу чжи
цаи,цаи,цае,бу мань
цансаи,цансаи,цансаы,бу дуй
цанжан,цанчан,цаняан,цай на
цан,цан,цан,цай
цанйи,цанчи,царнйыи,цань сай
цанйирен,цанчийен,царнйыирен,цань чжань
цанку,цанку,царнкух,цань
цан,цан,цаан,цань цзи
цангку,цангку,цангкух,цань цзи жэнь
цаозонг,цаоцунг,цаутзонк,цань ку
цесуо,цесо,цехсуоо,цань
це,це,цех,цан ку
цединг,цетинг,цехдинк,цао цзун
цехуа,цехуа,цеххуах,цэ со
ценгмиан,ценгмиен,цернгмианн,цэ
чаыи,чаи,чаыих,цэ дин
чачу,чачу,чарчу,цэ хуа
чакан,чакан,чарканн,цэн мянь
чаикиан,чаичиен,чаичиан,ча и
чанлианг,чанлианг,чаанлианк,ча чу
чангшенг,чангшенг,чангшенк,ча кань
чангдуан,чангтуан,чарнгдоан,чай цянь
чангйиа,чангчиа,чарнгйиах,чань лян
чангйиу,чангчиу,чарнгйеоу,чан шэн
чангпао,чангпао,чарнгпао,чан дуань
чангыуан,чангыуан,чарнгыеуан,чан цзя
чанггуи,чангкуеи,чарнггуеи,чан цзю
чангниан,чангниен,чарнгниан,чан пао
чангшанг,чангшанг,чаангшанг,чан юань
чангди,чангти,чаангдих,чан гуй
чанггуан,чангкуан,чаанггоан,чан нянь
чангйинг,чангчинг,чаангйиинг,чан шан
чангтонг,чангтунг,чанктонг,чан ди
чао,чао,чау,чан гуань
чаочу,чаочу,чаучу,чан цзин
чао,чао,чао,чан тун
чаогу,чаоку,чаогуу,чао
чаозуо,чаоцо,чаотзуох,чао чу
чехао,чехао,чехауо,чао
чепаи,чепаи,чепаир,чао гу
чежан,чечан,чеяан,чао цзо
чели,чели,чехли,чэ хао
чеxиао,чехсиао,чехшиау,чэ пай
ченг,ченг,ченг,чэ чжань
ченг,ченг,чернг,чэ ли
ченгфен,ченгфен,чернгфенн,чэ сяо
ченгпин,ченгпин,чернгпиин,чэн
ченгнуо,ченгно,чернгнуох,чэн
ченгку,ченгчу,чернгчиу,чэн фэнь
ченгxианг,ченгхсианг,чернгшианг,чэн пинь
ченгжен,ченгчен,чернгйенн,чэн но
чиыоу,чихыу,чырыеоу,чэн цюй
чонгйи,чунгчи,чонгйи,чэн сян
чонгйиан,чунгчиен,чорнгйианн,чэн чжэнь
чонгзу,чунгцу,чорнгтзуу,чи ю
чонгбаи,чунгпаи,чорнгбаы,чун цзи
чонгуоу,чунгуоу,чоонгуоух,цзянь чжун
чонг,чунг,чонг,цзу чжун
чучанг,чучанг,чучаанг,бай чун
чудонг,чутунг,чудонк,чун у
чуфанг,чуфанг,чуфаанг,чун
чулу,чулу,чулух,чан чу
чумиан,чумиен,чумианн,чу дун
чуминг,чуминг,чуминг,чу фан
чуру,чую,чурух,чу лу
чуши,чуших,чушых,чу мянь
чутаи,чутаи,чутаир,чу мин
чуxинг,чухсинг,чушынг,чу жу
чуденг,чутенг,чудеенг,чу ши
чу,чу,чуоу,чу тай
чуши,чуших,чуоушы,чу син
чуцун,чуцун,чууцуоен,чу дэн
чучу,чучу,чухчух,чу
чужанг,чучанг,чухяанг,чу ши
чуанчу,чуанчу,чуоанчу,цунь чу
чуанмеи,чуанмеи,чуоанмеи,чу чу
чуаншу,чуаншу,чуоаншу,чан чу
чуаныан,чуаныан,чуоаныан,чу чуань
чуаныуан,чуаныуан,чуоаныуан,чуань мэй
чуанжанг,чуанчанг,чуоаняанг,чуань шу
чуанжи,чуанчих,чуоанйы,чуань янь
чуан,чуан,чуанн,чуань юань
чуангкоу,чуангкоу,чуангкооу,чан чуань
чуангбан,чуангпан,чуанкбанн,чуань чжи
чуангйиан,чуангчиен,чуанкйианн,чуань
чуангыи,чуанги,чуанкыих,чуан коу
цичу,тзучу,цыычух,бань чуан
цици,тзутзу,цыыцых,чуан цзянь
цикиан,тзучиен,цыычыан,чуан и
циши,тзуших,цыышых,цы чу
цижи,тзучих,цыыйых,цы цы
цишу,тзушу,цыхшух,цы цянь
цонгбу,цунгпу,цорнгбух,цы ши
цонгмеи,цунгмеи,цорнгмеи,цы чжи
цу,цу,цух,цы шу
цунжуанг,цунчуанг,цуенюанг,бу цун
цуогуо,цокуо,цуохгуох,цун мэй
да,та,да,цу
даданг,татанг,даданк,цунь чжуан
дапеи,тапеи,дапеы,цо го
дадонг,татунг,даадонк,да
дадуан,татуан,даадуанн,да дан
дафа,тафа,даафа,да пэй
дагуанси,такуанси,даагуанси,да дун
дапаи,тапаи,даапаир,да дуань
даыинйи,таыинчи,дааыиннйи,да фа
дазао,тацао,даатзауо,да гуань сы
дадао,татао,дахдауо,да пай
дайие,тачиех,дахйие,да цзи инь
дали,тали,дахлих,да цзао
дами,тами,дахмии,да дао
дапи,тапи,дахпи,да цзе
дасаи,тасаи,дахсаы,да ли
даши,таших,дахшы,да ми
даши,таших,дахшыы,да пи
даихуир,таихуир,даихуеыр,да сай
даныоу,таныу,даниоу,да ши
данда,танта,дандаа,да ши
даншенг,таншенг,данншенг,дай эр хуэй (хой)
данг,танг,даанг,дань ю
данг,танг,данг,да дань
дангтиан,тангтиен,дангтиан,дань шэн
дангзуо,тангцо,данктзуох,дан
данг’ан,танган,данканн,дан
дао,тао,дао,дан тянь
даоки,таочи,дауочи,дан цзо
даобан,таопан,дауобаан,ань дан
даойиао,таочиао,дауойиауо,дао
даокиан,таочиен,дауочианн,дао ци
дитоу,титоу,дитоур,бань дао
диуоен,тиуоен,диуен,дао цзяо
ди,ти,ди,дао цянь
дида,тита,диидар,ди тоу
диканг,тиканг,дииканк,ди вэнь
дибан,типан,дихбаан,ди
диминг,тиминг,дихминг,да ди
диxиаши,тихсиаших,дихшиахшых,ди кан
дианче,тиенче,дианнче,бань ди
диандонг,тиентунг,дианндонк,ди мин
дианли,тиенли,дианнлих,ди ши ся
дианки,тиенчи,дианнчих,чэ дянь
диао,тиао,диауо,дянь дун
диаоыан,тиаоыан,диауоыан,дянь ли
дие,тиех,дие,дянь ци
дингйиа,тингчиа,динкйиах,дяо
дингши,тингших,динкшыр,дяо янь
дингуоеи,тингуоеи,динкуоеы,де
донгхуа,тунгхуа,донкхуах,дин цзя
доуженг,тоученг,доуойенг,дин ши
души,туших,душых,дин вэй
дупин,тупин,дуоупиин,дун хуа
ду,ту,дуу,доу чжэн
дубо,тупо,дуубор,ду ши
ду,ту,дух,ду пинь
дуан,туан,дуан,ду
дуанпиан,туанпиен,доанпианн,бо ду
дуиканг,туиканг,дуеыканк,ду
дуиуоаи,туиуоаи,дуеыуоаы,дуань
дун,тун,дуен,дуань пянь
дуобан,топан,дуобанн,дуй кан
дуофангмиан,тофангмиен,дуофангмианн,дуй вай
дуомеити,томеити,дуомеитии,дунь
дуо,то,дуоо,бань до
дуоку,точу,дуоочеу,до фан мянь
енрен,енйен,енрен,до мэй ти
ерке,ерхко,ерлке,до
фабинг,фапинг,фабинк,до цюй
фадиан,фатиен,фадианн,энь жэнь
фафанг,фафанг,фафанк,эр кэ
фану,фану,фанух,бин фа
факи,фачи,фачии,дянь фа
фаыанрен,фаыанйен,фаыанрен,фа фан
фаыан,фаыан,фаыан,фа ну
фатинг,фатинг,фаатынг,фа ци
фаыу,фаыу,фааыеу,фа жэнь янь
фан,фан,фан,фа янь
фанкие,фанчиех,фанчые,фа тин
фанши,фанших,фарншых,фа юй
фанжи,фанчих,фарнйыр,фань
фанканг,фанканг,фаанканк,фань це
фануоен,фануоен,фаануоенн,фань ши
фанxианг,фанхсианг,фааншеанг,фань чжи
фан,фан,фанн,фань кан
фангуи,фанкуеи,фаннгуеи,фань вэнь
фанзуи,фанцуи,фаннтзуеы,фань сян
фангфан,фангфан,фарнгфанн,фань
фангшоу,фангшоу,фарнгшооу,фань гуй
фангйиа,фангчиа,фарнгйиах,фань цзуй
фангфу,фангфу,фаангфуоу,фань фан
феичуан,феичуан,феичуоан,фан шоу
феиxингыуан,феихсингыуан,феишынгыуан,фан цзя
феи,феи,феы,фан фо
фенгонг,фенкунг,фенгонг,чуань фэй
фенлие,фенлиех,фенлиех,фэй син юань
фенну,фенну,фенннух,фэй
фенгбао,фенгпао,фенгбауо,фэнь гун
фенгхуи,фенгхуи,фенгхуеы,фэнь ле
фенгxиан,фенгхсиен,фенкшианн,фэнь ну
фо,фо,фор,бао фэн
фойиао,фочиао,форйиауо,фэн хуэй (хой)
фу,фу,фуоу,фэн сянь
фу,фу,фуоу,фо
фузи,футзу,фухтзыы,фо цзяо
фу,фу,фух,фу
фусу,фусу,фухсу,фу
фу,фу,фух,фу цзы
фу,фу,фух,фу
фурен,фуйен,фухрен,фу су
фуыоу,фуыу,фухыеоу,фу
гаижуанг,каичуанг,гаеюанг,фу
ганше,канше,ганшех,фу жэнь
ган,кан,ган,фу ю
ган,кан,ган,гай чжуан
ганманг,канманг,гаанманг,гань шэ
ганшанг,каншанг,гааншанк,гань
ганыу,каныу,гааныу,гань
ганрен,канйен,гаанрен,гань ман
гангхао,кангхао,гангхао,гань шан
гангуоеи,кангуоеи,гаангуоеы,гань юй
гангкоу,кангкоу,гаангкооу,гань жэнь
гаоценг,каоценг,гауцернг,ган хао
гаоданг,каотанг,гауданк,ган вэй
гаоденг,каотенг,гаудеенг,ган коу
гаофенг,каофенг,гауфенг,цэн гао
гаокао,каокао,гаукао,дан гао
гаокейи,каокочи,гаукейих,дэн гао
гаошоу,каошоу,гаушооу,фэн гао
гаози,каози,гаози,гао као
гечанг,кочанг,гечанк,гао цзи кэ
геци,котзу,гецыр,гао шоу
геxинг,кохсинг,гешинг,гао цзы
геxин,кохсин,гершин,чан гэ
генгши,кенгших,генкшых,цы гэ
гонгшанг,кунгшанг,гонгшанг,гэ син
гонг,кунг,гонг,гэ синь
гонган,кунган,гонган,гэн ши
гонгйи,кунгчи,гонгйи,гун шан
гонгжонг,кунгчунг,гонгйонк,гун
гонгжу,кунгчу,гонгюу,ань гун
гонгйи,кунгчи,гонгйи,гун цзи
гонгйи,кунгчи,гонгйии,гун чжун
гонг,кунг,гонг,гун чжу
гонггу,кунгку,гоонггух,гун цзи
гонгxиан,кунгхсиен,гонкшианн,гэй гун
гоуйиан,коучиен,гоуойианн,гун
гуду,куту,гудуоу,гун гу
гуер,куерх,гуерл,гун сянь
гугу,кугу,гугу,гоу цзянь
гудиан,кутиен,гуудеан,ду гу
гу,ку,гуу,эр гу
гудонг,кутунг,гуудонг,гу гу
гупиао,купиао,гуупиауо,дянь гу
гужанг,кучанг,гухянк,гу
гу,ку,гух,дун гу
гуа,куа,гуа,гу пяо
гуаи,куаи,гоаи,гу чжан
гуанаи,куанаи,гуанаы,гу
гуанлиан,куанлиен,гуанлиан,гуа
гуангуанг,куанкуанг,гуангуанг,гуай
гуанси,куанси,гуанси,ай гуань
гуандао,куантао,гоандауо,гуань лянь
гуангхуи,куангхуи,гуангхуеи,гуань гуан
гуангкуо,куангкуо,гоангкуох,гуань сы
гуидао,куеитао,гоеидауо,дао гуань
гуи,куеи,гуеы,гуан хуэй (хой)
гуочан,куочан,гуоочаан,гуан ко
гуоге,куоко,гуооге,дао гуй
гуохуи,куохуи,гуоохуеы,гуй
гуоки,куочи,гуоочыи,чань го
гуоуоанг,куоуоанг,гуооуоанг,гэ го
гуойианг,куочианг,гуоойианк,го хуэй (хой)
гуошу,куошу,гуоошух,го ци
гуоду,куоту,гуохдух,го ван
гуохоу,куохоу,гуоххоуо,го цзян
гуоши,куоших,гуохшыр,го шу
хаибао,хаипао,хаебауо,ду го
хаиди,хаити,хаедии,го хоу
хаиюн,хаичун,хаейиун,го ши
хаиланг,хаиланг,хаеланк,бао хай
хаиуоаи,хаиуоаи,хаеуоаы,ди хай
хаиуоан,хаиуоан,хаеуан,хай цзюнь
хаиыанг,хаиыанг,хаеыанг,хай лан
хаоронгыи,хаоюнги,хаоронгыих,хай вай
хаоси,хаоссу,хаосых,хай вань
хаожуан,хаочуан,хаойоан,хай ян
хеыуе,хоыуех,хериуе,хао жун и
хеxие,хохсиех,хершые,хао сы
хеxин,хохсин,хершин,хао чжуань
хеиые,хеиыех,хеиыех,хэ юэ
хеннаншуо,хеннаншуо,хееннаншуо,хэ се
хен,хен,хеен,хэ синь
хенг,хенг,хернг,хэй е
хенглианг,хенглианг,хернглианг,хэнь шо
хонгда,хунгта,хорнгдах,хэнь
хонгшуи,хунгшуи,хорнгшоеи,хэн
ху,ху,хуоу,хэн лян
худонг,хутунг,хухдонк,да хун
хууоаи,хууоаи,хухуоаы,хун шуй
ху,ху,хух,ху
хуафеи,хуафеи,хуафеы,дун ху
хуапинг,хуапинг,хуапынг,ху вай
хуашенг,хуашенг,хуашенг,ху
хуайие,хуачиех,хуахйиее,фэй хуа
хуанxианг,хуанхсианг,хуанншеанг,хуа пин
хуанже,хуанче,хуаннйее,хуа шэн
хуангди,хуангти,хуоангдих,хуа цзе
хуиыинг,хуиыинг,хуоеиыинк,хуань сян
хуи,хуи,хоеи,хуань чжэ
хуийиан,хуичиен,хуеыйианн,ди хуан
хуижанг,хуичанг,хуеыяанг,хуэй (хой) ин
хуихуа,хуихуа,хуеыхуах,хуэй (хой)
хун,хун,хуен,хуэй (хой) цзянь
хунхе,хунхо,хуеннхер,чан хуэй (хой)
хунлуан,хунлуан,хуеннлуанн,хуа хуэй (хой)
хуоыуе,хуоыуех,хуооыуех,хунь
хуойиан,хуочиен,хуоойианн,хэ хунь
йидонгче,читунгче,йидонкче,хунь луань
йигуан,чикуан,йигуан,хо юэ
йиxие,чихсиех,йишиех,хо цзянь
йидуйиао,читучиао,йидуйиауо,чэ дун цзи
йикинг,чичинг,йичынг,гуань цзи
йили,чили,йыилих,цзи се
йиxианг,чихсианг,йыишыанг,ду цзи цзяо
йидуан,читуан,йыидуан,цзи цин
йийиу,чичиу,йыийиоуо,цзи ли
йибинг,чипинг,йыибинк,цзи сян
йи,чи,йыи,дуань цзи
йиыу,чиыу,йииыеу,цзи цзю
йиаменг,чиаменг,йиаменг,бин цзи
йиадиан,чиатиен,йиадианн,цзи
йиаыуан,чиаыуан,йиаыуан,гэй юй
йиабин,чиапин,йиабин,цзя мэн
йиари,чиайих,йиахрых,дянь цзя
йиан,чиен,йиан,цзя юань
йианце,чиенце,йианцех,бинь цзя
йианду,чиенту,йианду,цзя жи
йиан,чиен,йеан,цзянь
йианйие,чиенчиех,йеанйиех,цэ цзянь
йиан,чиен,йианн,ду цзянь
йиандинг,чиентинг,йианндинк,цзянь
йиан,чиен,йианн,цзянь цзе
йиангюн,чиангчун,йиангйиун,цзянь
йиангке,чиангко,йеангкех,дин цзянь
йианг,чианг,йианк,цзянь
йиангыоу,чиангыу,йианкыоу,цзян цзюнь
йиао’ао,чиаоао,йиауауо,цзян кэ
йиаодиан,чиаотиен,йиаудеан,цзян
йиаоыин,чиаоыин,йеауыинн,цзян ю
йиао,чиао,йиауо,ао цзяо
йиаотанг,чиаотанг,йиауотарнг,дянь цзяо
йиаоыубу,чиаоыупу,йиауоыухбух,цзяо инь
йиешоу,чиехшоу,йиешоу,цзюэ
йие,чиех,йие,цзяо тан
йиетоу,чиехтоу,йиетоур,бу цзяо юй
йие,чиех,йые,цзе шоу
йиейиари,чиехчиайих,йыейиахрых,цзе
йиененг,чиехненг,йыененг,цзе тоу
йиезоу,чиехцоу,йыетзоуо,цзе
йиечу,чиехчу,йыечу,цзя цзе жи
йиежи,чиехчих,йыейыы,цзе нэн
йиежи,чиехчих,йыейых,цзе цзоу
йиешуо,чиехшуо,йиеешуо,чу цзе
йие,чиех,йиех,цзе чжи
йие,чиех,йиех,цзе чжи
йиейиан,чиехчиен,йиехйианн,цзе шо
йине,чине,йинер,цзе
йинкиан,чинчиен,йинчыан,цзе
йинронг,чинюнг,йинронг,цзянь цзе
йин,чин,йинн,э цзинь
йингонг,чинкунг,йиннгонг,цзинь цянь
йинри,чинйих,йиннрых,цзинь жун
йинши,чинших,йинншых,цзинь
йингрен,чингйен,йингрен,гун цзинь
йингxи,чингхси,йингшии,цзинь жи
йинг,чинг,йинг,цзинь ши
йингмеи,чингмеи,йингмееи,лян жэнь
йингпин,чингпин,йингпиин,лян си
йинг,чинг,йиинг,цзин
йинг,чинг,йиинг,цзин мэй
йингдиан,чингтиен,йиингдеан,цзин пинь
йинг,чинг,йинк,цзин
йиуфен,чиуфен,йиоуфен,цзин
йиуженг,чиученг,йиоуйенк,дянь цзин
йиушуи,чиушуи,йеоушоеи,цзин
йиуминг,чиуминг,йиоуоминк,фэнь цзю
йиуыуан,чиуыуан,йиоуоыуан,цзю чжэн
йиужу,чиучу,йиоуоюх,цзю шуй
йиушишуо,чиушихшуо,йиоуошыхшуо,цзю мин
йиусуан,чиусуан,йиоуосуанн,цзю юань
ю,чу,йыу,цзю чжу
ю,чу,йиух,цзю ши шо
ю,чу,йиух,цзю суань
юан,чуан,йиуан,цзюй
юанкуан,чуанкуан,йиуанкоан,цзюй
юанзенг,чуанценг,йиуантзенк,цзюй
юанжу,чуанчу,йиуанюх,цзюань
юеце,чуехце,йыуецех,цзюань куань
юеуоу,чуехуоу,йыуеуоух,цзюань цзэн
юе,чуех,йыуе,цзюань чжу
юедадуошу,чуехтатошу,йыуедахдуошух,цэ цзюэ
юндуи,чунтуи,йиундуеы,цзюэ у
юнйиан,чунчиен,йиунйианн,цзюэ
юнши,чунших,йиуншых,да до цзюэ шу
каичуанг,каичуанг,каичуанк,дуй цзюнь
каигуан,каикуан,каигуан,цзянь цзюнь
каише,каише,каишех,цзюнь ши
каитонг,каитунг,каитонг,чуан кай
каитоу,каитоу,каитоур,гуань кай
каиыече,каиыехче,каиыехче,кай шэ
кан,кан,кан,кай тун
кангуан,канкуан,кангоан,кай тоу
кандеки,кандечи,канндечии,чэ кай е
канзуо,канцо,каннтзуох,кань
кангфу,кангфу,кангфух,гуань кань
кангыи,канги,канкыих,дэ кань ци
каочанг,каочанг,каочаанг,кань цзо
каоти,каоти,каотыи,фу кан
кеыан,коыан,кеыан,кан и
кече,коче,кехче,чан као
кен,кен,кеен,као ти
конгюн,кунгчун,конгйиун,кэ янь
коуши,коуших,кооушых,чэ кэ
коу,коу,коуо,кэнь
ку,ку,кух,цзюнь кун
куа,куа,куах,коу ши
куаиче,куаиче,куаыче,коу
куанкуо,куанкуо,куанкуох,ку
куанг,куанг,куанк,куа
куо,куо,куох,чэ куай
лаиуоанг,лаиуоанг,лаиуооанг,куань ко
лаи,лаи,лаы,куан
ланму,ланму,ланмух,ко
ланлинг,ланлинг,ланлиинг,лай ван
лантиан,лантиен,лантиан,лай
лан,лан,лаан,лань му
лао,лао,лау,лань лин
лаоxианг,лаохсианг,лаошианг,лань тянь
ленгки,ленгчи,леенгчих,лань
ленгшуи,ленгшуи,леенгшоеи,лао
литанг,литанг,лиитарнг,лао сян
ли,ли,лии,лэн ци
лицаи,лицаи,лиицаир,лэн шуй
лижи,личих,лиийых,ли тан
ли,ли,лих,ли
ли,ли,лих,цай ли
лианменг,лиенменг,лианменг,ли чжи
лиансаи,лиенсаи,лиансаы,ли
лианшоу,лиеншоу,лианшооу,ли
лиангxие,лиангхсиех,лиангшые,лянь мэн
лиангце,лиангце,леангцех,лянь сай
лиангшоу,лиангшоу,леангшооу,лянь шоу
лиао,лиао,лиау,лян се
лиаотианр,лиаотиенр,лиаутианр,цэ лян
лиао,лиао,лиауо,лян шоу
лиао,лиао,лиауо,ляо
лие,лиех,лиех,эр ляо тянь
лингхуо,лингхуо,лингхуоо,ляо
лингку,лингчу,лиингчеу,ляо
лингxиу,лингхсиу,лиингшиоуо,ле
линг,линг,линк,хо лин
лиуыан,лиуыан,лиоуыан,лин цюй
лиуган,лиукан,лиоугаан,лин сю
лоудао,лоутао,лоудауо,лин
лоуфанг,лоуфанг,лоуфарнг,лю янь
лоу,лоу,лоуо,гань лю
луюн,лучун,лухйиун,дао лоу
луxианг,лухсианг,лухшианк,фан лоу
луыинйи,луыинчи,лухинйи,лу
лугуо,лукуо,лухгуох,цзюнь лу
лу,лу,лух,лу сян
маче,маче,мааче,цзи лу инь
маи,маи,маи,го лу
мантоу,мантоу,мантоу,лу
манче,манче,маннче,чэ ма
мангрен,мангйен,мангрен,май
меихуа,меихуа,меихуа,мань тоу
меиронг,меиюнг,мееиронг,чэ мань
менг,менг,менг,ман жэнь
менг,менг,меенг,хуа мэй
миан,миен,миан,мэй жун
миандуимиан,миентуимиен,мианндуеымианн,мэн
мианxианг,миенхсианг,мианншианк,мэн
миао,миао,миауо,мянь
мие,миех,миех,дуй мянь мянь
минге,минко,минге,мянь сян
мингонг,минкунг,мингонг,мяо
минйинг,минчинг,минйиинг,ме
миныи,мини,миныих,гэ минь
минжу,минчу,минюу,гун минь
минг’е,минге,мингер,цзин минь
мингшенг,мингшенг,мингшенк,минь и
мингыи,минги,мингыих,минь чжу
мингыу,мингыу,мингыух,э мин
мингри,мингйих,мингрых,мин шэн
минг,минг,минк,мин и
мо,мо,мо,мин юй
мо,мо,мо,мин жи
мошоу,мошоу,мохшоу,мин
мошуи,мошуи,мохшоеи,мо
му,му,муу,мо
муйи,мучи,мууйи,мэй шоу
музи,мутзу,муутзыы,мо шуй
му,му,мух,му
назоу,нацоу,натзооу,цзи му
наифен,наифен,наефеен,му цзы
наиниу,наиниу,наениоу,му
нануоанг,нануоанг,нануоанк,на цзоу
неиди,неити,неыдих,фэнь най
неиуоаи,неиуоаи,неыуоаы,най ню
неиыи,неии,неыи,ван
ненгфоу,ненгфоу,ненгфооу,ди нэй
ни,ни,ни,нэй вай
ниу,ниу,неоу,нэй и
паихангбанг,паихангпанг,паирхарнгбаанг,фоу нэн
паичу,паичу,паычу,ни
пан,пан,панн,ню
пануоанг,пануоанг,паннуоанк,бан пай син
пеитонг,пеитунг,пеирторнг,чу пай
пеижи,пеичих,пеыйых,пань
пикиу,пичиу,пыичыоу,пань ван
пиан,пиен,пиан,пэй тун
пинкун,пинкун,пынкуенн,пэй чжи
пинпаи,пинпаи,пиинпаир,пи цю
пинкинг,пинчинг,пиннчиинг,пянь
пингфан,пингфан,пынгфарн,кунь пинь
пингфангми,пингфангми,пынгфангмии,пай пинь
пингхенг,пингхенг,пынгхернг,пинь цин
пингтаи,пингтаи,пынгтаир,фань пин
пинг,пинг,пынг,фан ми пин
пингxуан,пингхсуан,пынгшеуан,хэн пин
пингму,пингму,пынгмух,пин тай
по,по,по,пин
пу,пу,пу,пин сюань
пу,пу,пу,му пин
кифу,чифу,чифу,по
кимиао,чимиао,чыимиауо,пу
киту,читу,чиитуоу,пу
кидиан,читиен,чиидеан,фу ци
кису,чису,чиисух,мяо ци
кифен,чифен,чихфен,ци ту
киаданг,чиатанг,чиахданк,дянь ци
киахао,чиахао,чиаххао,ци су
киакиа,чиачиа,чиахчиах,фэнь ци
киан,чиен,чиан,дан ця
кианби,чиенпи,чианбии,хао ця
кианxу,чиенхсу,чианшиу,ця ця
кианфанг,чиенфанг,чыанфанг,цянь
кианлаи,чиенлаи,чыанлаи,би цянь
кианли,чиенли,чыанлих,цянь сюй
киангдао,чиангтао,чыангдауо,фан цянь
киангхуа,чиангхуа,чыангхуах,лай цянь
киангши,чиангших,чыангшых,ли цянь
киангжуанг,чиангчуанг,чыангюанк,дао цян
киаолианг,чиаолианг,чыаулианг,хуа цян
киаомиао,чиаомиао,чеаумиауо,цян ши
киези,чиехзи,чыези,цян чжуан
киеши,чиехших,чиехшыр,лян цяо
кинфан,чинфан,чинфанн,мяо цяо
киншу,чиншу,чиншуу,це цзы
киныан,чиныан,чиныеан,це ши
кингxианг,чингхсианг,чингшианк,фань цинь
кинг,чинг,чинг,цинь шу
кингйие,чингчиех,чингйые,цинь янь
кингйиегонг,чингчиехкунг,чингйыегонг,цин сян
кингмингйие,чингмингчиех,чингмингйые,цин
кингxи,чингхси,чингшии,цзе цин
кингxу,чингхсу,чынгшиух,гун цзе цин
киужи,чиучих,чыоуйыр,цзе мин цин
киупаи,чиупаи,чыоупаи,цин си
киуxинг,чиухсинг,чыоушинг,цин сюй
киуыуан,чиуыуан,чыоуыуан,цю чжи
куфен,чуфен,чиуфен,пай цю
кудао,чутао,чыудауо,цю син
кукуан,чукуан,чеукоан,цю юань
кукуанйи,чукуанчи,чеукоанйи,фэнь цюй
кудиао,чутиао,чиухдиауо,дао цюй
куан,чуан,чыуан,куань цюй
куанли,чуанли,чыуанлих,цзи куань цюй
куанли,чуанли,чыуанлих,дяо цюй
куанxин,чуанхсин,чыуаншин,цюань
куан,чуан,чиуанн,ли цюань
куеxиан,чуеххсиен,чиуешианн,ли цюань
куеши,чуехших,чиуехшых,цюань синь
рангзуо,янгцо,ранктзуох,цюань
редиан,йетиен,рехдеан,цюэ сянь
решуи,йешуи,рехшоеи,цюэ ши
решуики,йешуичи,рехшоеичих,жан цзо
реxиан,йехсиен,рехшианн,дянь жэ
ренкуан,йенчуан,ренчыуан,жэ шуй
рентонг,йентунг,реннторнг,ци жэ шуй
риые,йихыех,рыхыех,жэ сянь
риыу,йихыу,рыхыеу,цюань жэнь
ронгхе,юнгхо,ронгхер,жэнь тун
ронгру,юнгю,ронгрух,жи е
ру,ю,ру,жи юй
руыи,юи,руи,хэ жун
ружипин,ючихпин,рууйыхпиин,жун жу
ру,ю,рух,жу
руxуе,юхсуех,рухшыуе,жу и
руо,йо,руох,пинь жу чжи
саи,саи,саи,жу
саи,саи,саы,жу сюэ
саичанг,саичанг,саычаанг,жо
санмингжи,санмингчих,санмингйых,сай
сангши,сангших,санкшы,сай
шанфенг,шанфенг,шанфенг,чан сай
шангу,шанку,шангуу,мин сань чжи
шанпо,шанпо,шанпо,сан ши
шангкоу,шангкоу,шангкооу,фэн шань
шангуоанг,шангуоанг,шангуоанг,гу шань
шангыуан,шангыуан,шангыуан,по шань
шангченг,шангченг,шангчернг,коу шан
шангданг,шангтанг,шанкданк,шан ван
шангди,шангти,шанкдих,шан юань
шангши,шангших,шанкшых,чэн шан
шангтаи,шангтаи,шанктаир,дан шан
шангыан,шангыан,шанкыеан,ди шан
шао,шао,шаур,шан ши
шаоер,шаоерх,шауоерл,шан тай
шетоу,шетоу,шертоу,шан янь
шейиши,шечиших,шехйихшы,шао
шейи,шечи,шехйыи,эр шао
шенхуа,шенхуа,шенхуах,шэ тоу
шеншен,шеншен,шеншен,цзи шэ ши
шенча,шенча,шеенчар,цзи шэ
шенгйи,шенгчи,шенгйыи,хуа шэнь
